,Without disabilities,With disabilities
,N=1328340,N=67009
Confident in paying next month's mortgage/rent,,
  No,14%,22%
Gender at birth,,
  Male,38%,32%
  Female,62%,68%
Race,,
" White, Alone",81%,74%
" Black, Alone",8%,14%
" Asian, Alone",5%,5%
" Any other race alone, or race in combination",6%,8%
Total household income (before taxes),,
 -99,1%,1%
 -88,3%,3%
" Less than $25,000  ",9%,34%
" $25,000 - $34,999  ",7%,13%
" $35,000 - $49,999   ",10%,11%
" $50,000 - $74,999   ",16%,15%
" $75,000 - $99,999   ",14%,9%
" $100,000 - $149,999   ",19%,8%
" $150,000 - $199,999",10%,3%
" $200,000 and above",11%,3%
Hispanic origin,,
" No, not of Hispanic, Latino, or Spanish origin  ",89%,89%
" Yes, of Hispanic, Latino, or Spanish origin",11%,11%
Age,,
 Mean,44.6,52.5
Housing owned or rented,,
 Rented?,65%,54%
 Occupied without payment of rent?,35%,46%
Marital status,,
  -99,0%,1%
  1,58%,45%
  2,1%,4%
  3,13%,24%
  4,2%,4%
  5,25%,23%
Educational attainment,,
  1,1%,1%
  2,1%,3%
  3,10%,19%
  4,21%,31%
  5,10%,15%
  6,32%,19%
  7,25%,12%
Number of dependents below 18,,
  Mean ,0.9,0.6
Household size,,
  Mean,3.1,2.9
